"","pres_abs","dataset","year_mon","count","year","month","sst","sss","ssh","mld","log_eke","sst_sd","ssh_sd","sss_sd","bathy","rugosity","lon","lat"
"1",1,"etag",Sep 2010,532,2010,9,23.6240710788303,36.3340839809842,0.00527631131311258,17.3616416931152,-4.31520098050435,0.0403718746784661,0.00995501109088461,0.00573889351863828,-3843.35297851563,282.828312852648,-35.7533946028121,38.0764707695693
"2",1,"etag",Dec 2011,143,2011,12,21.8351203999968,36.9256995307075,0.0184749144185175,66.9651773110414,-5.53250909177666,0.054005933046325,0.00470493344311965,0.0204983979996899,-3269.31662681123,201.469108796731,-38.6232359518628,31.8052078347653
"3",1,"etag",Nov 2009,198,2009,11,23.2982106155819,37.0146326700846,-0.0278142303383599,50.7111684057448,-4.89176387257046,0.0731195614996573,0.00743995444370537,0.0268252102632283,-5087.99591200087,102.978513916334,-26.3467159782434,30.998483912088
"4",1,"etag",Jan 2017,516,2017,1,20.4677672094228,36.5002928753288,-0.0929942584159423,118.237431117467,-2.27596960748945,0.201708178283,0.0315859856426108,0.0322447522372311,-5086.16059470663,16.4271952765329,-57.35528133685,40.735981526315
"5",1,"etag",Feb 2017,527,2017,2,22.0343027114868,36.9274921417236,-0.0556962797418237,57.9565596580505,-8.14075046777725,0.0471241931081749,0.00382042382261716,0.0596208292408846,-4834.07861328125,42.4647781848907,-27.1704890494438,20.0127733894424
"6",1,"etag",Mar 2010,150,2010,3,16.1616598649458,36.1900686870922,-0.273284928669984,51.8721048528498,-5.71690259792588,0.0566851195577659,0.0065780034758394,0.0120161047697448,-2706.1056623979,149.389255970175,-31.0063457318182,36.6840719064232
"7",1,"etag",Aug 2009,73,2009,8,23.7268896102905,36.8224906921387,-0.110705895349383,18.9214763641357,-4.68345546722412,0.0257824338041246,0.00501041463576257,0.0116631221026182,-3797.55310058594,134.676956176758,-18.4720496490623,33.0351799442626
"8",1,"etag",Oct 2010,521,2010,10,20.8769493103027,36.0728797912598,-0.116885893046856,31.1288814544678,-7.78448820114136,0.0317326746881008,0.00203583855181932,0.00443423679098487,-491.915008544922,237.747299194336,-28.8574337714501,38.4473690851987
"9",1,"etag",Mar 2009,196,2009,3,17.6393606387868,36.4000688754811,-0.117359466782826,76.343850290635,-5.66818591145908,0.0781376690959887,0.00607998197151841,0.0159392387665096,-2252.59942174575,232.325994307574,-33.4498965768658,37.629421226168
"10",1,"etag",Jul 2014,183,2014,7,25.3536491394043,36.3307609558105,-0.0363170281052589,10.5288858413696,-4.51677942276001,0.131107404828072,0.0123110236600041,0.0205166209489107,-4636.2626953125,274.838043212891,-47.7615981272888,34.9024618073346
"11",1,"etag",Dec 2015,186,2015,12,20.7577134768168,36.2847658793131,-0.187231055833399,80.9986710230509,-2.81843159596125,0.11786160642126,0.0268790237605572,0.02981065135682,-4014.47351888021,165.150398731232,-66.1028858763599,39.6153224069625
"12",1,"etag",Feb 2017,527,2017,2,19.798059463501,36.4207878112793,-0.0610370188951492,84.6888656616211,-0.988229155540466,0.453431516885757,0.0588649362325668,0.0947522073984146,-5018.45263671875,12.8787441253662,-59.5888420113288,40.4105902451198
"13",1,"etag",Feb 2017,527,2017,2,22.0213937759399,36.9495220184326,-0.054780725389719,69.7347984313965,-6.50822877883911,0.06548972427845,0.00266540597658604,0.042458463460207,-4864.69384765625,46.9670715332031,-27.7074355698187,19.7061201295806
"14",1,"etag",Jan 2011,310,2011,1,17.7291304749328,36.3140457648736,-0.245157960957134,92.8182857216179,-6.32229790424372,0.0609072505916747,0.00533712115779431,0.011418539953158,-2809.17392451299,175.719463910685,-31.1835017711915,35.8024140900932
"15",1,"etag",Nov 2016,543,2016,11,22.4720186116744,36.2009313155194,-0.0586702775362195,66.9569898332868,-2.26550496354395,0.102107099428469,0.0338656999436872,0.03410228535685,-5136.30790617028,18.2246979304722,-58.9367744612181,40.6776581925036
"16",1,"etag",Apr 2018,57,2018,4,21.6624956130981,36.7168197631836,0.214392527937889,24.796290397644,-2.92345023155212,0.154673725366592,0.0210549579933286,0.00358508538920432,-5040.40625,37.12428855896,-73.8172075922057,32.2997293372545
"17",1,"etag",Sep 2010,532,2010,9,23.2493362426758,36.1430702209473,-0.11444441229105,17.7007369995117,-8.29114437103271,0.0460267700254917,0.00131265074014664,0.0116821639239788,-495.170013427734,215.031204223633,-29.4428966718445,38.1011409770092
"18",1,"etag",Jun 2008,41,2008,6,18.3289589881897,35.0039672851562,-0.336619153618813,10.5288858413696,-4.77124345302582,0.206759594380856,0.00452742370544001,0.0261624362319708,-1346.23687744141,703.439849853516,-9.30413172633428,39.6176987522236
"19",1,"etag",Oct 2016,502,2016,10,22.5107067955865,35.6415076785617,-0.485566440555784,34.6215551164415,-2.50927189985911,0.0601744121846019,0.022220631957882,0.0380318949206008,-4812.16824001736,27.6876562436422,-64.5464386303428,39.6877470073853
"20",1,"etag",Oct 2011,264,2011,10,23.2436906829901,36.4880201954142,-0.0776226807853725,34.2895199279005,-5.33383547223511,0.060619150642156,0.00818733252867937,0.0290167875372967,-4148.259658624,147.88977993449,-40.2427351074037,37.1240443389863
"21",1,"etag",Oct 2010,521,2010,10,21.4358043670654,36.3322868347168,-0.13489180803299,36.7748069763184,-7.59874057769775,0.0340772457420826,0.00194218603428453,0.0191873293370008,-2488.0576171875,176.693618774414,-27.4959492440982,36.882875057745
